md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
mesa 1:25.3.5-1
mesa-utils 9.0.0-7
meson 1.10.1-1
minizip 1:1.3.1-2
miopen-hip 7.2.0-1
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-cxx 7.0.0-1
mtdev 1.1.7-1
muparser 2.3.5-1
nano 8.7.1-1
ncurses 6.5-4
netpbm 10.86.48-1
nettle 3.10.2-1
networkmanager 1.54.3-1
ninja 1.13.2-2
node-gyp 12.2.0-1
nodejs 25.6.1-1
nodejs-nopt 7.2.1-1
noto-fonts-emoji 1:2.051-1
npm 11.10.0-1
npth 1.8-1
nspr 4.38.2-1
nss 3.120.1-1
numactl 2.0.19-1
nvidia-utils 590.48.01-4
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
opencl-headers 2:2025.07.22-1
opencore-amr 0.1.6-2
openh264 2.6.0-1
openjpeg2 2.5.4-1
openmp 21.1.6-2
openmpi 5.0.9-3
openpmix 5.0.10-1
openssh 10.2p1-2
openssl 3.6.1-1
openucx 1.20.0-2
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.83-1
otf-commit-mono-nerd 3.4.0-2
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260105-1
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.0-2
pangomm 2.46.4-1
parted 3.6-2
patch 2.8-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.0-1
perl-clone 0.47-2
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-html-parser 3.83-2
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.16-6
perl-http-date 6.06-5
perl-http-message 7.01-2
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-libwww 6.81-2
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-net-http 6.24-2
perl-timedate 2.33-9
perl-try-tiny 0.32-4
perl-uri 5.34-2
perl-www-robotrules 6.02-16
perl-xml-parser 2.47-3
picom-arian8j2-git 2060_Next.498.gb8cc00b_2024.08.19-1
picom-arian8j2-git-debug 2060_Next.498.gb8cc00b_2024.08.19-1
pinentry 1.3.2-2
pipewire 1:1.4.10-2
pipewire-alsa 1:1.4.10-2
pipewire-audio 1:1.4.10-2
pipewire-jack 1:1.4.10-2
pipewire-pulse 1:1.4.10-2
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.5.5-1
playerctl 2.4.1-5
polkit 127-3
polkit-kde-agent 6.5.5-1
polkit-qt6 0.200.0-1
poppler 26.01.0-1
poppler-data 0.4.12-2
poppler-qt6 26.01.0-1
popt 1.19-2
